node_id,x,y
283,-84.3938589,33.7769311
284,-84.3937217,33.7769296
285,-84.3958312,33.7777408
286,-84.3958983,33.7778274
287,-84.3959408,33.777871
288,-84.3959872,33.7779122
289,-84.39604,33.777948
290,-84.3960941,33.777984
291,-84.3962263,33.7780607
292,-84.3963674,33.7781263
293,-84.396432,33.778153
294,-84.3965384,33.7781875
295,-84.3966072,33.7782066
296,-84.3967154,33.7782277
297,-84.3968249,33.7782402
298,-84.3971253,33.7782478
299,-84.3971864,33.7782483
300,-84.3974584,33.7782488
301,-84.3976074,33.7782503
302,-84.3977201,33.7782492
303,-84.3977916,33.7782507
304,-84.3978653,33.7782521
305,-84.3981831,33.7782559
306,-84.3990595,33.7782718
307,-84.3936341,33.7769897
308,-84.3936279,33.7774184
309,-84.3936261,33.777541
310,-84.3936184,33.7780834
311,-84.3935664,33.7769273
312,-84.3930433,33.7769167
313,-84.3928241,33.7769135
314,-84.3921785,33.7769027
315,-84.3937217,33.7769296
316,-84.3938589,33.7769311
317,-84.3940566,33.7769334
318,-84.3941803,33.7769351
319,-84.394304,33.7769368
320,-84.3947869,33.7769445
321,-84.3950398,33.7769507
322,-84.3951058,33.7769567
323,-84.3951436,33.7769601
324,-84.395269,33.7770097
325,-84.3953492,33.7770522
326,-84.395379,33.7770775
327,-84.3954153,33.7771092
328,-84.3954475,33.7771585
329,-84.3956548,33.777476
330,-84.3956999,33.7775438
331,-84.395719,33.7775754
332,-84.3936361,33.7768458
333,-84.3936386,33.7766646
334,-84.39364,33.7764751
335,-84.3936416,33.7764474
336,-84.3936477,33.7760149
337,-84.4042535,33.7786757
338,-84.4046307,33.7786796
339,-84.404716,33.7786805
340,-84.4055653,33.7786872
341,-84.4055752,33.7786873
342,-84.4060716,33.7786912
343,-84.4061099,33.7787085
344,-84.4061327,33.7787552
345,-84.4061201,33.7791087
346,-84.4041852,33.7787248
347,-84.4041846,33.7787642
348,-84.4041809,33.7790061
349,-84.4041801,33.779063
350,-84.4041734,33.7794928
351,-84.4041719,33.7795956
352,-84.3936477,33.7760149
353,-84.3936416,33.7764474
354,-84.39364,33.7764751
355,-84.3936386,33.7766646
356,-84.3936361,33.7768458
357,-84.3937507,33.775929
358,-84.3938403,33.7759289
359,-84.393975,33.7759219
360,-84.3940677,33.7759112
361,-84.3942286,33.775892
362,-84.39348,33.7759049
363,-84.3936156,33.7782771
364,-84.3935975,33.7795626
365,-84.3936184,33.7780834
366,-84.3936261,33.777541
367,-84.3936279,33.7774184
368,-84.3936341,33.7769897
369,-84.3935422,33.7781765
370,-84.3928339,33.7781627
371,-84.3926899,33.7781599
372,-84.39216,33.7781496
373,-84.3935125,33.7795962
374,-84.3934311,33.7795963
375,-84.3930406,33.7795969
376,-84.3929928,33.779597
377,-84.3927046,33.7795974
378,-84.3920586,33.7795985
379,-84.3935975,33.7795626
380,-84.3936156,33.7782771
381,-84.3943866,33.7758584
382,-84.3945652,33.7758096
383,-84.3947131,33.7757579
384,-84.3948575,33.7756878
385,-84.3949172,33.7756535
386,-84.395015,33.7755948
387,-84.395124,33.7755249
388,-84.3952886,33.7754384
389,-84.3954786,33.7753498
390,-84.3956301,33.7752969
391,-84.3942729,33.77582
392,-84.3942618,33.7757836
393,-84.3941655,33.7754406
394,-84.3941489,33.7753947
395,-84.3941391,33.7753613
396,-84.3939491,33.7747521
397,-84.3937889,33.774199
398,-84.3937244,33.773969
399,-84.3942286,33.775892
400,-84.3940677,33.7759112
401,-84.393975,33.7759219
402,-84.3938403,33.7759289
403,-84.3937507,33.775929
404,-84.3920533,33.7739084
405,-84.3925688,33.7739086
406,-84.3927426,33.773901
407,-84.3927991,33.7739019
408,-84.3919854,33.773969
409,-84.3919853,33.7739993
410,-84.391981,33.774401
411,-84.3919782,33.7747046
412,-84.3919776,33.7748583
413,-84.3919744,33.7749953
414,-84.3919741,33.7750628
415,-84.3929145,33.7739036
416,-84.3936779,33.7739118
417,-84.3927991,33.7739019
418,-84.3927426,33.773901
419,-84.3925688,33.7739086
420,-84.3920533,33.7739084
421,-84.3942131,33.7738707
422,-84.3942178,33.7736837
423,-84.3942226,33.7734939
424,-84.3942229,33.7734832
425,-84.3941328,33.7739133
426,-84.3938662,33.7739113
427,-84.3949906,33.7739238
428,-84.3954771,33.7739205
429,-84.3954807,33.7736662
430,-84.395483,33.77351
431,-84.3954864,33.7732595
432,-84.395488,33.7731674
433,-84.3954895,33.7730788
434,-84.3954908,33.7729973
435,-84.3954978,33.7725349
436,-84.3955002,33.7724223
437,-84.3955001,33.772388
438,-84.3933153,33.7758141
439,-84.3933137,33.7757936
440,-84.3932941,33.7757162
441,-84.3932025,33.7754955
442,-84.39313,33.7752106
443,-84.39311,33.775064
444,-84.3931025,33.7747825
445,-84.393077,33.7745974
446,-84.3930227,33.774421
447,-84.3928704,33.77406
448,-84.3928536,33.7739886
449,-84.3928536,33.7739699
450,-84.39348,33.7759049
451,-84.39316,33.7758349
452,-84.393007,33.7757829
453,-84.39286,33.7757189
454,-84.392747,33.7756609
455,-84.392613,33.7755799
456,-84.392537,33.7755195
457,-84.3924112,33.7754069
458,-84.3920342,33.771399
459,-84.3920293,33.7714464
